Sample,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
371,-123762,-8388608,5304528,6079581,-1037820,-7536840,466256,1029045
372,-123855,-8388608,5304290,6079442,-1037734,-7536033,466349,1029248
373,-123899,-8388608,5304058,6079322,-1037669,-7535562,466377,1029377
374,-123969,-8388608,5303831,6079190,-1037604,-7535101,466431,1029507
375,-123975,-8388608,5303611,6079081,-1037584,-7534602,466439,1029505
376,-123957,-8388608,5303379,6078971,-1037537,-7533777,466416,1029465
377,-123817,-8388608,5303129,6078837,-1037484,-7532528,466369,1029216
378,-123632,-8388608,5302847,6078683,-1037483,-7531274,466234,1028823
379,-123442,-8388608,5302625,6078568,-1037506,-7530653,466116,1028436
380,-123136,-8388608,5302396,6078425,-1037558,-7530375,465968,1027915
